ticker,in_current,in_prior,weight_current,weight_prior,weight_delta,tier_current,tier_prior,rank_current,rank_prior
CELC,1,0,6.81,0.0,6.81,A,,20,
CGON,1,0,5.79,0.0,5.79,A,,19,
COGT,1,0,6.81,0.0,6.81,A,,18,
CRSP,1,0,6.81,0.0,6.81,A,,14,
DNLI,1,0,5.79,0.0,5.79,A,,3,
DNTH,1,0,5.79,0.0,5.79,A,,17,
FDMT,1,0,1.43,0.0,1.43,A,,16,
KALV,1,0,5.79,0.0,5.79,A,,9,
KOD,1,0,5.79,0.0,5.79,A,,15,
KURA,1,0,5.79,0.0,5.79,A,,8,
KYTX,1,0,1.74,0.0,1.74,A,,7,
NMRA,1,0,2.86,0.0,2.86,A,,1,
NUVB,1,0,5.79,0.0,5.79,A,,13,
ORKA,1,0,5.79,0.0,5.79,A,,12,
PEPG,1,0,4.77,0.0,4.77,A,,11,
PHVS,1,0,2.86,0.0,2.86,A,,6,
PRAX,1,0,6.81,0.0,6.81,A,,4,
PVLA,1,0,5.79,0.0,5.79,A,,2,
SION,1,0,3.48,0.0,3.48,A,,10,
ZBIO,1,0,3.48,0.0,3.48,A,,5,
