ticker,company_name,actionable_rank,target_weight_pct,tier_any,tier_any_reason,tier_dev,tier_reason,tier_commercial,alpha_cohort_pct,commercial_quality_pct,clinical_optionality_pct_dev,clinical_rank_pct_dev,catalyst_days,catalyst_in_window,catalyst_mode,cat_priority,mom_state,risk_flags,size_band,size_reasons,top_3_drivers,catalyst_reason_detail,decision_engine_version,decision_engine_ruleset_id,eligible,ineligible_reasons,alpha_cohort_key,alpha_cohort_raw,commercial_quality,clinical_alpha_z,clinical_readout_days,clinical_coverage_flag,clinical_score_z,clinical_score_z_tier,sponsor_tier1_count,sponsor_overlap_count,sponsor_net_buying,catalyst_strength,catalyst_decay_w,runway_bucket,cost_bucket,est_cost_bps,cost_mult,cost_haircut_applied,dd_rel_margin_rescued,catalyst_tilt_mult,catalyst_tilt_applied,mom_state_tilt_mult,mom_state_tilt_applied,de_catalyst_days,de_catalyst_in_window,de_catalyst_mode,de_alpha_60d,de_tier1_count,de_beta_xbi_60d,de_drawdown,de_drawdown_missing_reason,de_rsi_14d,de_drawdown_xbi,de_drawdown_rel_xbi,stage_bucket,market_cap_bucket,severity,archetype,returns_source,catalyst_source,catalyst_event_type,missing_components,missingness_penalty,confidence_overall,momentum_score,catalyst_score,smart_money_score,valuation_score,clinical_score,financial_score,composite_rank,composite_score,score_rank_pct,score_z,composite_score_attn,score_rank_pct_attn,score_z_attn
NMRA,"Neumora Therapeutics, Inc.",1,0.33,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.57837,,0.603825,0.396175,12,1,specific_days,9,tailwind,,M,tier_a_dev|momentum_tailwind|runway_short|cost_haircut_<=2000bps,momentum_score:+33.2;financial_score:-31.6;clinical_score:-8.5,tier=A;reason=high_opt+catalyst_near;cat_days=12;strength=near;decay_w=1.0,v1.3.0,aa0aaf28,1,,late|near_0_30|pos,0.09254273684210526,,0.5204,0,1,-0.4094,1.6149,1,1,neutral,near,1.0,short,<=2000bps,1854.56,0.7,1,0,1.0,0,1.0,0,12,True,specific_days,0.3024,1,,-0.015385,,,-0.023106,0.007721,late,small,sev2,drug_developer,morningstar,,,,0,0.7962199703982144954775049924,72.99,46.46346844444444444444444444,39.98803022251445261027798019,73.88,31.23456790123456790123456790,8.227146814404432132963988913,185,0.09254273684210526,0.42163,-0.1977,4.97,0.007837,-2.4164
PVLA,"Palvella Therapeutics, Inc.",2,0.67,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.581505,,0.60929,0.39071,12,1,specific_days,9,headwind,,L,tier_a_dev|sponsor_confirmed|momentum_headwind,smart_money_score:+41.0;financial_score:-23.0;clinical_score:-12.0,tier=A;reason=high_opt+catalyst_near;cat_days=12;strength=near;decay_w=1.0,v1.3.0,aa0aaf28,1,,late|near_0_30|pos,0.09254273684210526,,0.5202,0,1,-0.4427,1.5284,4,4,buying,near,1.0,adequate,<=1000bps,696.14,0.85,1,0,1.0,0,1.0,0,12,True,specific_days,-0.1948,4,,-0.252407,,,-0.023106,-0.229301,late,small,none,drug_developer,morningstar,,,,0,0.8580159710888318955467474936,35.20,43.59201111111111111111111111,83.42171662614167653605712036,52.99,30.45207901894617569972140404,19.38509079716835949522930132,186,0.09254273684210526,0.418495,-0.2057,23.20,0.434169,-0.1658
DNLI,Denali Therapeutics Inc.,3,0.67,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.547022,,0.631148,0.368852,8,1,specific_days,9,headwind,deep_drawdown|deep_drawdown_rel_xbi,L,tier_a_dev|sponsor_confirmed|momentum_headwind,financial_score:+18.5;clinical_score:-16.3;momentum_score:-3.4,tier=A;reason=high_opt+catalyst_near;cat_days=8;strength=near;decay_w=1.0,v1.3.0,aa0aaf28,1,,late|near_0_30|pos,0.09254273684210526,,0.517,0,1,-0.4978,1.3854,3,3,buying,near,1.0,adequate,<=1000bps,524.88,0.85,1,0,1.0,0,1.0,0,8,True,specific_days,-0.1100,3,,-0.366,,25.0,-0.023106,-0.342894,late,mid,none,drug_developer,morningstar,,,,0,0.8888111257642968469008512169,42.08,44.93379600000000000000000000,47.26954377824779165003977011,49.00,29.15893170961114823890497760,63.93846153846153846153846154,175,0.09254273684210526,0.452978,-0.1181,31.49,0.581505,0.2057
PRAX,"Praxis Precision Medicines, Inc",4,0.79,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.239812,,0.625683,0.374317,104,0,specific_days,9,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|runway_short,financial_score:-46.9;momentum_score:+44.7;smart_money_score:+31.0,tier=A;reason=high_opt+catalyst_near;cat_days=104;strength=near;decay_w=1.0,v1.3.0,aa0aaf28,1,,late|near_91_180|pos,0.1,,0.5194,0,1,-0.4758,1.4424,8,8,buying,near,1.0,short,<=400bps,209.08,1.0,0,0,1.0,0,1.0,0,104,False,specific_days,1.7521,8,,-0.047068,,,-0.023106,-0.023962,late,mid,sev2,drug_developer,morningstar,,,,0,0.8156330562582821346825683653,96.55,45.25946711111111111111111111,82.92659080238835069531489323,15.17,29.67454050917331529197572118,5,77,0.1,0.760188,0.7069,6.15,0.020376,-2.046
ZBIO,"Zenas BioPharma, Inc.",5,0.4,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.308777,,0.636612,0.363388,104,0,specific_days,9,headwind,high_vol|deep_drawdown|deep_drawdown_rel_xbi,M,tier_a_dev|sponsor_confirmed|momentum_headwind|high_risk,smart_money_score:+27.1;clinical_score:-14.5;financial_score:-10.3,tier=A;reason=high_opt+catalyst_near;cat_days=104;strength=near;decay_w=1.0,v1.3.0,aa0aaf28,1,,late|near_91_180|pos,0.1,,0.515,0,1,-0.5197,1.3286,3,3,buying,near,1.0,adequate,<=1000bps,907.47,0.85,1,0,1.0,0,1.0,0,104,False,specific_days,-0.1565,3,,-0.388464,,,-0.023106,-0.365358,late,small,none,drug_developer,morningstar,,,,0,0.8188563049853372434017595308,38.10,45.81938177777777777777777778,70.28665176853329081804917957,55.97,28.64552307561143976084200336,32.88776854416743613419513696,99,0.1,0.691223,0.4993,17.84,0.280564,-0.5812
PHVS,Pharvaris N.V.,6,0.33,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.236677,,0.663934,0.336066,43,1,specific_days,9,headwind,,M,tier_a_dev|sponsor_confirmed|momentum_headwind|cost_haircut_<=2000bps,smart_money_score:+44.0;financial_score:-36.0;clinical_score:-14.4,tier=A;reason=high_opt+catalyst_near;cat_days=43;strength=near;decay_w=1.0,v1.3.0,aa0aaf28,1,,late|near_31_90|pos,0.1,,0.5123,0,1,-0.6063,1.104,9,9,buying,near,1.0,adequate,<=2000bps,1059.54,0.7,1,0,1.0,0,1.0,0,43,True,specific_days,-0.1439,9,,-0.099268,,,-0.023106,-0.076162,late,small,none,drug_developer,morningstar,,,,0,0.7975677814029363784665579119,39.64,48.93552044444444444444444444,85,39.05,26.61389019523719159866779975,5,76,0.1,0.763323,0.717,18.79,0.327586,-0.4466
KYTX,"Kyverna Therapeutics, Inc.",7,0.2,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.65047,,0.653005,0.346995,12,1,specific_days,9,headwind,high_vol|deep_drawdown_rel_xbi,S,tier_a_dev|momentum_headwind|high_risk,financial_score:-20.4;momentum_score:+11.7;catalyst_score:+9.8,tier=A;reason=high_opt+catalyst_near;cat_days=12;strength=near;decay_w=1.0,v1.3.0,aa0aaf28,1,,mid|near_0_30|pos,0.07679787341772153,,-0.103,0,1,-0.5714,1.1944,1,1,buying,near,1.0,adequate,<=1000bps,904.79,0.85,1,0,1.0,0,1.0,0,12,True,specific_days,-0.0564,1,,-0.32902,,,-0.023106,-0.305914,mid,small,sev1,drug_developer,morningstar,,,,0,0.7634078435804701627486437613,45.94,44.00714711111111111111111111,39.83637825480320279866240807,65.09,27.43177247917265153691467969,13.84940312213039485766758493,208,0.07679787341772153,0.34953,-0.3866,12.98,0.117555,-1.1873
KURA,"Kura Oncology, Inc.",8,0.67,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.18652,,0.685792,0.314208,165,0,specific_days,9,headwind,deep_drawdown_rel_xbi,L,tier_a_dev|sponsor_confirmed|momentum_headwind,smart_money_score:+34.0;financial_score:-15.7;momentum_score:-13.8,tier=A;reason=high_opt+catalyst_mid;cat_days=165;strength=mid;decay_w=0.7,v1.3.0,aa0aaf28,1,,late|near_91_180|pos,0.1,,0.5097,0,1,-0.6913,0.8832,4,4,buying,mid,0.7,adequate,<=1000bps,852.72,0.85,1,0,1.0,0,1.0,0,165,False,specific_days,-0.3475,4,,-0.315486,,,-0.023106,-0.29238,late,small,sev1,drug_developer,morningstar,,,,0,0.8779831452832383389554495754,23.85,46.11181511111111111111111111,71.68931141667373107809718169,85.32,24.61745996386228063661790550,21.95753770390889504462911666,60,0.1,0.81348,0.8908,17.93,0.286834,-0.5627
KALV,"KalVista Pharmaceuticals, Inc.",9,0.67,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.180251,,0.70765,0.29235,133,0,specific_days,9,headwind,deep_drawdown|deep_drawdown_rel_xbi,L,tier_a_dev|sponsor_confirmed|momentum_headwind,smart_money_score:+17.5;financial_score:-15.1;clinical_score:-13.5,tier=A;reason=high_opt+catalyst_mid;cat_days=133;strength=mid;decay_w=0.7,v1.3.0,aa0aaf28,1,,late|near_91_180|pos,0.1,,0.5029,0,1,-0.7749,0.6663,2,2,selling,mid,0.7,adequate,<=1000bps,688.17,0.85,1,0,1.0,0,1.0,0,133,False,specific_days,-0.1553,2,,-0.3637,,39.0,-0.023106,-0.340594,late,small,sev1,drug_developer,morningstar,,,,0,0.8896391734575087310826542491,38.19,45.25946711111111111111111111,53.61941245490965745517900036,70.40,22.65623238148670687469232060,21.09293936595875654047399200,58,0.1,0.819749,0.9144,18.47,0.305643,-0.5082
SION,"Sionna Therapeutics, Inc.",10,0.4,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.816614,,0.937158,0.062842,104,0,specific_days,9,headwind,,M,tier_a_dev|sponsor_confirmed|momentum_headwind|runway_short,smart_money_score:+48.2;financial_score:-31.8;clinical_score:-31.7,tier=A;reason=high_opt+catalyst_near;cat_days=104;strength=near;decay_w=1.0,v1.3.0,aa0aaf28,1,,mid|near_91_180|nonpos,0.0646411489361702,,-1.1578,104,1,-1.5245,-1.2787,6,6,buying,near,1.0,short,<=1000bps,882.99,0.85,1,0,1.0,0,1.0,0,104,False,specific_days,-0.0951,6,,-0.156475,,,-0.023106,-0.133369,mid,small,sev2,drug_developer,morningstar,,,,0,0.7647878277350742339686216700,43.15,45.56250000000000000000000000,85,50,5.067828529477480928213476328,5,261,0.0646411489361702,0.183386,-0.9025,9.19,0.051724,-1.6284
