rank,ticker,composite_score,risk_adjusted_score,expected_excess_return,score_z,company_stage,lead_program_stage,market_cap_bucket,severity,clinical_score,financial_score,catalyst_score,pos_score,momentum_score,valuation_score,smart_money_score,clinical_contrib,financial_contrib,catalyst_contrib,pos_contrib,momentum_contrib,smart_money_contrib,clinical_conf,financial_conf,catalyst_conf,pos_conf,confidence_overall,conviction_overlap,tier1_conviction_overlap,tier1_count,coinvest_overlap_count,reinforcement_applied,reinforcement_type,reinforce_pts,catalyst_mult,momentum_mult,thesis_gate_blocked,skip_reason,catalyst_window_days,nearest_catalyst_type,in_optimal_window,alpha_60d,momentum_bucket,ev_trial_ratio,peer_count,si_pct,si_score,annualized_vol_pct,vol_bucket,partnership_count,partnership_strength,has_top_tier_partner,has_fda_designations,designation_count,pipeline_diversity_score,is_single_asset,competitive_intensity,cash_runway_months,burn_trajectory
1,QURE,63.65,61.74,0.2363,2.9542,mid,poc,small,none,72.99,71.00,42.08,98.85,,,85,28.98,13.50,0.00,6.00,,11.08,0.95,0.95,0.30,0.63,0.80500,12.221,12.221,9,9,True,weak,0.053,1.0053,1.0032,,,,,False,-0.3084,,,51,,48.00,,unknown,0,,,False,,75.0,,,,
2,ALKS,62.90,66.04,0.1933,2.4164,late,poc,mid,none,80.00,70.06,40.98,100.00,,,76.78217985391645846308873212,31.59,12.10,0.00,6.00,,8.71,0.95,0.95,0.30,0.84,0.80000,6.617,6.617,6,6,True,moderate,0.412,1.0412,1.0247,,,,,False,-0.0719,,,77,,70.00,,unknown,0,,,False,,88.0,,,,
3,EBS,62.84,60.95,0.2078,2.597,late,poc,small,none,80.00,77.37,40.98,90.08,,,42.72834875689924811263065393,32.43,15.02,0.00,6.00,,3.85,0.95,0.95,0.30,0.84,0.80000,0.6667,0.6667,1,1,True,weak,0.168,1.0168,1.0101,,,,,False,-0.0828,,,77,,71.00,,unknown,0,,,False,,88.0,,,,
4,NVAX,61.86,60.62,0.1833,2.2913,late,poc,small,none,80.00,79.35,51.45,75.70,,,41.72834875689924811263065393,29.14,13.84,2.12,6.00,,4.37,0.95,0.95,0.45,0.95,0.83000,0.6667,0.6667,1,1,True,moderate,0.259,1.0259,1.0156,,,,,False,-0.0280,,,108,,76.00,,unknown,1,,,True,,86.0,,,,
5,IRWD,61.40,53.70,0.1755,2.1943,late,poc,small,none,80.00,76.03,40.98,78.75,,,,35.31,16.07,0.00,6.00,,,0.95,0.95,0.30,0.92,0.80500,,,0,0,False,,,,,,below_threshold,,,False,2.1626,,,77,,48.00,,unknown,0,,,False,,80.0,,,,
6,CTNM,60.62,60.62,0.1692,2.1144,mid,pivotal,small,none,79.89,62.11,53.35,55.75,,,85,27.42,12.92,1.99,6.00,,10.17,0.95,0.95,0.45,0.50,0.83500,7.3461,7.3461,7,7,False,,,,,,stage_pivotal_not_active,,,True,0.3278,,,51,,49.00,,unknown,0,,,False,,78.0,,,,
7,CATX,59.83,59.83,0.1637,2.046,early,poc,small,none,80.00,67.87,52.77,69.49,,,51.46566680585542926692731131,31.20,12.67,2.33,6.00,,5.02,0.95,0.95,0.45,0.40,0.83500,2.5717,2.5717,2,2,True,moderate,0.388,1.0388,1.0233,,,,,False,-0.3393,,,28,,65.00,,unknown,0,,,False,,64.0,,,,
8,OPK,58.78,82.29,0.1589,1.9861,late,poc,small,none,76.37,69.04,40.98,75.70,,,,33.59,14.54,0.00,6.00,,,0.95,0.95,0.30,0.95,0.80500,,,0,0,False,,,,,,below_threshold,,,False,-0.2618,,,108,,57.00,,unknown,0,,,False,,88.0,,,,
9,AGIO,58.68,52.37,0.1507,1.884,late,poc,small,none,77.70,66.22,67.18,84.00,,,65.20298485481161042122396869,27.80,11.34,3.79,6.00,,7.76,0.95,0.95,0.65,0.87,0.87500,4.5382,4.5382,3,3,True,moderate,0.335,1.0335,1.0201,,,,,True,-0.4229,,,197,,57.00,,unknown,0,,,True,,83.0,,,,
10,IMRX,58.66,56.90,0.1472,1.8396,early,poc,small,none,75.15,64.89,43.66,69.49,,,54.46566680585542926692731131,31.50,14.80,0.00,6.00,,5.31,0.85,0.95,0.30,0.40,0.71500,1.6961,1.6961,2,2,True,moderate,0.292,1.0292,1.0175,,,,,False,-0.2538,,,0,,41.00,,unknown,0,,,False,,42.0,,,,
