ticker,composite_rank,composite_score,z_score,expected_excess_return,volatility,drawdown,cluster_id,corr_xbi,beta_xbi,vol_blended,vol_63d,vol_252d,max_drawdown_blended,max_drawdown_252d,max_drawdown_2y,risk_data_state_vol,risk_data_state_drawdown,risk_data_state_beta,confidence_risk,defensive_multiplier,defensive_bucket,defensive_notes,rank_driver,fundamental_red_flag,fundamental_red_flag_reasons,severity,stage_bucket,market_cap_bucket,rankable,momentum_score,momentum_window,momentum_alpha,catalyst_score,catalyst_effective_score,catalyst_proximity_score,smart_money_score,smart_money_overlap,smart_money_tier1_holders,short_interest_score,short_interest_crowding,short_interest_squeeze,valuation_score,valuation_method,valuation_confidence,valuation_raw_metric,valuation_mcap_mm,valuation_denom_trials_total,valuation_denom_trials_p1,valuation_denom_trials_p2,valuation_denom_trials_p3,valuation_denom_trials_reg,valuation_denom_trials_other,valuation_phase_weighted_trials,valuation_metric_pw,valuation_pct_overall,valuation_pct_in_size_bucket,valuation_size_bucket,valuation_applicable,valuation_notes,partnership_score,partnership_strength,partnership_top_partners,fda_designation_score,fda_designations,competitive_intensity_score,competitive_crowding_level,pipeline_diversity_score,pipeline_risk_profile,confidence_overall,confidence_financial,confidence_clinical,confidence_catalyst,confidence_pos,pit_trials_total,pit_trials_eligible,pit_trials_filtered,pit_trials_no_date,clinical_lead_phase,clinical_lead_nct_id,clinical_recency_days,clinical_score_raw,catalyst_event_count_upcoming,catalyst_confidence_m3,catalyst_window_days_m3,catalyst_window_bucket_m3,catalyst_next_date,catalyst_top_event_type,catalyst_top_event_date
IRWD,1,69.98,2.9542,0.2363,1.2561,-0.7582,2,0.2723,,1.2561,1.2561,,-0.7582,-0.7582,-0.7582,live,live,missing,0.72,1.00,penalty,def_not_applied; def_skip_not_elite_vol; def_mult_high_vol_0.97; def_mult_rsi_overbought_0.98; def_mult_drawdown_penalty_0.92,alpha,False,,none,late,small,True,96.55,60,2.1626,50.00,36.82,6.07,74.00,0,,48.00,LOW,LOW,51.30,ev_cfo,0.8000,24.04,780.857472,42,3,18,15,3,3,59.25,13.18,0.513,0.431,small,True,commercial_revenue_threshold; commercial_cfo_positive; valuation_ev_cfo,50,unknown,,50,,75.0,uncrowded,80.0,broad_portfolio,0.80500,0.95,0.95,0.30,0.92,42,42,0,0,approved,NCT03226899,14,75.99,1,LOW,118,91_180,2026-06-01,CT_PRIMARY_COMPLETION,2026-06-01
EBS,2,68.73,2.597,0.2078,1.0204,,2,0.2778,,1.0204,1.0204,,,,,live,missing,missing,0.53,1.00,penalty,def_not_applied; def_skip_not_elite_vol; def_mult_high_vol_0.97; def_missing_drawdown,alpha,False,,none,late,small,True,44.04,60,-0.0828,50.00,39.34,14.48,72.40,1,Tier1_Holder_1,71.00,MEDIUM,MODERATE,79.87,ev_cfo,0.8000,11.20,611.136832,64,23,15,10,5,11,64.25,9.51,0.7987,0.6379,small,True,commercial_revenue_threshold; commercial_cfo_positive; valuation_ev_cfo,50,unknown,,50,,75.0,uncrowded,88.0,broad_portfolio,0.80000,0.95,0.95,0.30,0.84,64,64,0,0,approved,NCT02443623,18,76.15,3,LOW,148,91_180,2026-07-01,CT_PRIMARY_COMPLETION,2026-08-01
NVAX,3,67.70,2.4164,0.1933,0.4814,-0.3487,2,0.5142,,0.4814,0.4814,,-0.3487,-0.3487,-0.3487,live,live,missing,0.72,1.00,neutral,def_not_applied; def_mult_rsi_overbought_0.98; def_warn_drawdown_gt_30pct,alpha,False,,none,late,small,True,47.99,60,-0.0280,60.40,51.38,30.34,80.00,3,Tier1_Holder_1; Tier1_Holder_2; Tier1_Holder_3,76.00,HIGH,HIGH,90.00,ev_revenue,0.8000,0.92,1333.304192,53,15,22,13,3,0,64.5,20.67,0.8714,0.8077,small,True,commercial_revenue_threshold; valuation_ev_revenue,56.75,exceptional,Sanofi,58,FT,100.0,highly_crowded,86.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.95,53,53,0,0,approved,NCT06065176,6,76.42,5,MED,72,31_90,2026-04-16,CT_PRIMARY_COMPLETION,2026-04-16
ALKS,4,66.28,2.2913,0.1833,0.3674,,2,0.4767,,0.3674,0.3674,,,,,live,missing,missing,0.53,1.00,neutral,def_not_applied; def_mult_momentum_bonus_1.05; def_missing_drawdown,alpha,False,,none,late,mid,True,44.83,60,-0.0719,50.00,39.71,15.71,80.00,7,Tier1_Holder_1; Tier1_Holder_2; Tier1_Holder_3; Tier1_Holder_4; Tier1_Holder_5; Tier1_Holder_6; Tier1_Holder_7,70.00,MEDIUM,MODERATE,77.27,ev_cfo,0.8000,13.50,5693.251584,111,29,25,42,10,5,154.75,36.79,0.7662,0.9074,mid,True,commercial_revenue_threshold; commercial_cfo_positive; valuation_ev_cfo,50,unknown,,50,,90.0,moderate,88.0,broad_portfolio,0.80000,0.95,0.95,0.30,0.84,111,111,0,0,approved,NCT02634320,14,76.65,3,LOW,118,91_180,2026-06-01,CT_PRIMARY_COMPLETION,2026-06-01
BEAM,5,64.43,2.1144,0.1692,0.7330,-0.3508,1,0.6600,,0.7330,0.7330,,-0.3508,-0.3508,-0.3508,live,live,missing,0.72,1.00,neutral,def_not_applied; def_warn_drawdown_gt_30pct,alpha,False,,none,early,mid,True,54.46,60,0.0620,50.00,36.39,4.63,80.00,4,Tier1_Holder_1; Tier1_Holder_2; Tier1_Holder_3; Tier1_Holder_4,80.00,MEDIUM,HIGH,19.64,mcap_per_trial,0.8000,347.04,2776.35456,8,6,0,0,0,2,3.5,793.24,0.1745,0.5667,mid,True,valuation_mcap_per_trial,61.81,exceptional,Pfizer; Eli Lilly,78.2,BTD; ODD; RMAT,100.0,highly_crowded,75.0,diversified,0.80000,0.95,0.95,0.30,0.50,8,8,0,0,phase 1,NCT06934382,6,46.25,1,LOW,115,91_180,2026-05-29,CT_STUDY_COMPLETION,2026-05-29
MBX,6,63.47,2.046,0.1637,0.9974,,3,0.3023,,0.9974,0.9974,,,,,live,missing,missing,0.53,1.00,neutral,def_not_applied; def_skip_vol_too_high; def_mult_high_vol_0.97; def_mult_momentum_bonus_1.05; def_missing_drawdown,alpha,False,,none,mid,small,True,92.75,60,0.7197,50.00,36.84,6.14,80.00,9,Tier1_Holder_1; Tier1_Holder_2; Tier1_Holder_3; Tier1_Holder_4; Tier1_Holder_5; Tier1_Holder_6; Tier1_Holder_7; Tier1_Holder_8; Tier1_Holder_9,75.00,LOW,LOW,18.27,mcap_per_trial,0.8000,251.26,1758.823168,7,4,3,0,0,0,5.0,351.76,0.263,0.0972,small,True,valuation_mcap_per_trial,50,unknown,,50,,75.0,uncrowded,75.0,diversified,0.80500,0.95,0.95,0.30,0.58,7,7,0,0,phase 2,NCT07029412,48,59.76,1,LOW,116,91_180,2026-05-30,CT_PRIMARY_COMPLETION,2026-05-30
TBPH,7,62.77,1.9861,0.1589,0.5264,-0.3281,2,0.3946,,0.5264,0.5264,,-0.3281,-0.3281,-0.3281,live,live,missing,0.72,1.00,neutral,def_not_applied; def_skip_vol_too_high; def_warn_drawdown_gt_30pct,alpha,False,,none,late,small,True,57.18,60,0.0998,50.00,50.00,0,72.40,1,Tier1_Holder_1,75.00,LOW,MODERATE,90.00,ev_cfo,0.8000,2.94,1004.327616,75,40,22,9,3,1,69.25,14.5,0.9545,0.9483,small,True,commercial_cfo_positive; valuation_ev_cfo,50,unknown,,50,,100.0,highly_crowded,88.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.90,75,75,0,0,approved,NCT05165485,151,75.88,0,MED,,UNKNOWN,,,
ESPR,8,62.18,1.9326,0.1546,0.7805,,2,0.2681,,0.7805,0.7805,,,,,live,missing,missing,0.53,1.00,neutral,def_not_applied; def_skip_not_elite_vol; def_missing_drawdown,alpha,False,,none,late,small,True,56.56,60,0.0911,83.33,69.69,37.86,77.20,1,Tier1_Holder_1,50.00,MEDIUM,MODERATE,55.09,ev_revenue,0.8000,5.70,830.745408,26,3,12,7,2,2,34.0,24.43,0.5857,0.2692,small,True,commercial_revenue_threshold; valuation_ev_revenue,50,unknown,,50,,100.0,highly_crowded,86.0,broad_portfolio,0.87000,0.95,0.95,0.65,0.89,26,26,0,0,approved,NCT06021951,140,76.54,2,HIGH,25,0_30,2026-02-28,CT_PRIMARY_COMPLETION,2026-02-28
XNCR,9,62.09,1.884,0.1507,0.5714,,3,0.6238,,0.5714,0.5714,,,,,live,missing,missing,0.53,1.00,neutral,def_not_applied; def_missing_drawdown,alpha,False,,none,mid,small,True,42.98,60,-0.0975,50.00,35.90,3.00,80.00,5,Tier1_Holder_1; Tier1_Holder_2; Tier1_Holder_3; Tier1_Holder_4; Tier1_Holder_5,77.00,MEDIUM,HIGH,74.04,mcap_per_trial,0.8000,28.20,845.857088,33,25,8,0,0,0,20.5,41.26,0.8099,0.8565,small,True,valuation_mcap_per_trial,35.62,strong,Janssen,64.0,FT; ODD,100.0,highly_crowded,82.0,broad_portfolio,0.80000,0.95,0.95,0.30,0.53,33,33,0,0,phase 2,NCT05297903,49,60.14,1,LOW,240,181_365,2026-10-01,CT_PRIMARY_COMPLETION,2026-10-01
VNDA,10,61.88,1.7985,0.1439,1.0382,,2,0.2900,,1.0382,1.0382,,,,,live,missing,missing,0.53,1.00,neutral,def_not_applied; def_skip_not_elite_vol; def_mult_high_vol_0.97; def_mult_momentum_bonus_1.05; def_missing_drawdown,alpha,False,,none,late,small,True,83.80,60,0.4860,80.00,86.00,100.00,80.00,2,Tier1_Holder_1; Tier1_Holder_2,75.00,LOW,LOW,90.00,mcap_per_trial,0.8000,15.78,473.364032,83,23,23,28,3,6,101.0,4.69,0.9115,0.9491,small,True,valuation_mcap_per_trial,50,unknown,,50,,75.0,uncrowded,88.0,broad_portfolio,0.87500,0.95,0.95,0.65,0.84,83,83,0,0,approved,NCT02413918,11,74.94,9,HIGH,26,0_30,2026-03-01,CT_PRIMARY_COMPLETION,2026-03-01
