rank,ticker,composite_score,risk_adjusted_score,expected_excess_return,score_z,stage_bucket,market_cap_bucket,severity,clinical_score,financial_score,catalyst_score,pos_score,momentum_score,valuation_score,smart_money_score,confidence_overall,confidence_clinical,confidence_catalyst,conviction_overlap,tier1_conviction_overlap,tier1_count,coinvest_overlap_count,reinforcement_applied,reinforcement_type,thesis_gate_blocked,skip_reason,catalyst_window_days,nearest_catalyst_type,in_optimal_window,alpha_60d,momentum_bucket,ev_trial_ratio,peer_count,si_pct,si_score,annualized_vol_pct,vol_bucket,partnership_count,partnership_strength,has_top_tier_partner,has_fda_designations,designation_count,pipeline_diversity_score,is_single_asset,competitive_intensity,cash_runway_months,burn_trajectory
1,QURE,63.65,61.74,0.2363,2.9542,mid,small,none,,,,,,,,0.80500,0.95,0.30,12.221,12.221,9,9,True,weak,,,,,False,-0.3084,,,51,,48.00,,unknown,0,,,False,,75.0,,,,
2,ALKS,62.90,66.04,0.1933,2.4164,late,mid,none,,,,,,,,0.80000,0.95,0.30,6.617,6.617,6,6,True,moderate,,,,,False,-0.0719,,,77,,70.00,,unknown,0,,,False,,88.0,,,,
3,EBS,62.84,60.95,0.2078,2.597,late,small,none,,,,,,,,0.80000,0.95,0.30,0.6667,0.6667,1,1,True,weak,,,,,False,-0.0828,,,77,,71.00,,unknown,0,,,False,,88.0,,,,
4,NVAX,61.86,60.62,0.1833,2.2913,late,small,none,,,,,,,,0.83000,0.95,0.45,0.6667,0.6667,1,1,True,moderate,,,,,False,-0.0280,,,108,,76.00,,unknown,1,,,True,,86.0,,,,
5,IRWD,61.40,53.70,0.1755,2.1943,late,small,none,,,,,,,,0.80500,0.95,0.30,,,0,0,False,,,below_threshold,,,False,2.1626,,,77,,48.00,,unknown,0,,,False,,80.0,,,,
6,CTNM,60.62,60.62,0.1692,2.1144,mid,small,none,,,,,,,,0.83500,0.95,0.45,7.3461,7.3461,7,7,False,,,stage_pivotal_not_active,,,True,0.3278,,,51,,49.00,,unknown,0,,,False,,78.0,,,,
7,CATX,59.83,59.83,0.1637,2.046,early,small,none,,,,,,,,0.83500,0.95,0.45,2.5717,2.5717,2,2,True,moderate,,,,,False,-0.3393,,,28,,65.00,,unknown,0,,,False,,64.0,,,,
8,OPK,58.78,82.29,0.1589,1.9861,late,small,none,,,,,,,,0.80500,0.95,0.30,,,0,0,False,,,below_threshold,,,False,-0.2618,,,108,,57.00,,unknown,0,,,False,,88.0,,,,
9,AGIO,58.68,52.37,0.1507,1.884,late,small,none,,,,,,,,0.87500,0.95,0.65,4.5382,4.5382,3,3,True,moderate,,,,,True,-0.4229,,,197,,57.00,,unknown,0,,,True,,83.0,,,,
10,IMRX,58.66,56.90,0.1472,1.8396,early,small,none,,,,,,,,0.71500,0.85,0.30,1.6961,1.6961,2,2,True,moderate,,,,,False,-0.2538,,,0,,41.00,,unknown,0,,,False,,42.0,,,,
11,MBX,58.63,59.71,0.1439,1.7985,mid,small,none,,,,,,,,0.80500,0.95,0.30,11.1396,11.1396,8,8,True,strong,,,,,False,0.7197,,,51,,75.00,,unknown,0,,,False,,75.0,,,,
12,ESPR,58.09,58.09,0.1408,1.7602,late,small,none,,,,,,,,0.87000,0.95,0.65,0.6667,0.6667,1,1,True,weak,,,,,True,0.0911,,,108,,50.00,,unknown,0,,,False,,86.0,,,,
13,BEAM,57.85,57.85,0.138,1.7244,early,mid,none,,,,,,,,0.80000,0.95,0.30,6.1086,6.1086,4,4,False,,,stage_pivotal_not_active,,,False,0.0620,,,28,,80.00,,unknown,2,,,True,,75.0,,,,
14,VYGR,57.79,57.79,0.1352,1.6906,early,micro,none,,,,,,,,0.83500,0.95,0.45,0.4,0.4,1,1,False,,,stage_early_not_active,,,False,-0.2480,,,28,,57.00,,unknown,0,,,False,,67.0,,,,
15,ELVN,57.78,58.85,0.1327,1.6587,early,small,none,,,,,,,,0.80500,0.95,0.30,6.0741,6.0741,6,6,True,moderate,,,,,False,0.1716,,,28,,63.00,,unknown,0,,,False,,50.0,,,,
16,TBPH,57.65,57.65,0.1303,1.6284,late,small,none,,,,,,,,0.83000,0.95,0.45,0.6667,0.6667,1,1,False,,,stage_commercial_not_active,,,False,0.0998,,,77,,75.00,,unknown,0,,,False,,88.0,,,,
153,BCYC,28.71,57.59,0.128,1.5995,early,small,none,,,,,,,,0.74500,0.85,0.45,1.6406,1.6406,2,2,False,,,stage_early_not_active,,,False,-0.3207,,,0,,63.00,,unknown,0,,,False,,35.0,,,,
17,ENTA,57.19,57.19,0.1257,1.5718,mid,small,none,,,,,,,,0.83000,0.95,0.45,0.6667,0.6667,1,1,False,,,no_catalyst_data,,,False,0.0642,,,51,,61.00,,unknown,0,,,False,,82.0,,,,
18,QSI,56.83,56.83,0.1236,1.5454,late,micro,none,,,,,,,,0.83500,0.95,0.45,,,0,0,False,,,below_threshold,,,True,-0.4416,,,197,,53.00,,unknown,0,,,False,,88.0,,,,
19,UPB,56.67,56.67,0.1196,1.4955,mid,small,none,,,,,,,,0.87500,0.95,0.65,8.5256,8.5256,4,4,True,moderate,,,,,True,0.1938,,,51,,63.00,,unknown,0,,,False,,75.0,,,,
20,ACRS,56.59,57.64,0.1177,1.4718,late,small,none,,,,,,,,0.80500,0.95,0.30,2.4825,2.4825,3,3,True,weak,,,,,False,0.5373,,,197,,49.00,,unknown,0,,,False,,86.0,,,,
21,CHRS,56.53,57.58,0.1216,1.5199,late,micro,none,,,,,,,,0.87500,0.95,0.65,0.7564,0.7564,1,1,True,weak,,,,,True,0.7180,,,197,,76.00,,unknown,0,,,False,,86.0,,,,
22,JANX,56.39,54.70,0.1142,1.4269,early,small,none,,,,,,,,0.77500,0.85,0.30,7.2959,7.2959,7,7,True,weak,,,,,False,-0.5851,,,28,,48.00,,unknown,0,,,False,,67.0,,,,
23,CGEM,56.30,57.34,0.1124,1.4055,early,small,none,,,,,,,,0.87500,0.95,0.65,1.6307,1.6307,4,4,True,weak,,,,,True,0.2689,,,28,,59.00,,unknown,0,,,False,,74.0,,,,
