ticker,composite_rank,composite_score,z_score,expected_excess_return,volatility,drawdown,cluster_id,corr_xbi,beta_xbi,defensive_multiplier,defensive_bucket,defensive_notes,rank_driver,fundamental_red_flag,fundamental_red_flag_reasons,severity,stage_bucket,market_cap_bucket,rankable,momentum_score,momentum_window,momentum_alpha,catalyst_score,catalyst_effective_score,catalyst_proximity_score,smart_money_score,smart_money_overlap,smart_money_tier1_holders,short_interest_score,short_interest_crowding,short_interest_squeeze,valuation_score,valuation_method,valuation_confidence,partnership_score,partnership_strength,partnership_top_partners,fda_designation_score,fda_designations,competitive_intensity_score,competitive_crowding_level,pipeline_diversity_score,pipeline_risk_profile,confidence_overall,confidence_financial,confidence_clinical,confidence_catalyst,confidence_pos
HRMY,1,84.85,1.7626,0.141,0.3158,,2,0.1710,,1.4000,elite,def_mult_elite_1.40; def_missing_drawdown,defensive_boost,False,,none,late,mid,True,43.58,60,-0.0892,65.30,50.83,17.07,65.71,4,Great Point Partners,66.00,MEDIUM,HIGH,89.84,ev_cfo,0.8000,50,unknown,,50,,75.0,uncrowded,80.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.84
OPK,2,82.59,1.5324,0.1226,0.354,,2,0.2563,,1.4000,elite,def_mult_elite_1.40; def_missing_drawdown,defensive_boost,False,,none,late,small,True,30.10,60,-0.2618,50.00,50.00,0,50.00,0,,57.00,LOW,LOW,87.36,ev_revenue,0.8000,50,unknown,,50,,75.0,uncrowded,88.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.95
INCY,3,79.79,1.2816,0.1025,0.3319,-0.0406,2,0.2346,0.2617,1.4000,elite,def_mult_elite_1.40,defensive_boost,False,,none,late,large,True,39.30,60,-0.1486,80.00,86.00,100.00,71.00,2,Baker Bros Advisors; Casdin Capital,61.00,LOW,LOW,58.59,ev_cfo,0.8000,59.83,exceptional,Novartis; Eli Lilly,69.0,ODD; BTD,75.0,uncrowded,88.0,broad_portfolio,0.87000,0.95,0.95,0.65,0.87
VRTX,4,74.62,1.0043,0.0803,0.2519,-0.0860,2,0.2697,0.4574,1.4000,elite,def_mult_elite_1.40,defensive_boost,False,,none,late,large,True,44.77,60,-0.0726,80.00,86.00,100.00,80.00,7,Sectoral Asset Management; Sofinnova Investments; Tang Capital Partners,60.00,LOW,LOW,33.59,ev_cfo,0.8000,55.08,exceptional,CRISPR Therapeutics; Moderna,69.0,ODD; BTD,100.0,highly_crowded,88.0,broad_portfolio,0.87000,0.95,0.95,0.65,0.95
ALKS,5,66.74,2.3878,0.191,0.3674,,2,0.4767,,1.0500,neutral,def_mult_momentum_bonus_1.05; def_missing_drawdown,alpha,False,,none,late,mid,True,44.83,60,-0.0719,50.00,50.00,0,80.00,7,Baker Bros Advisors; EcoR1 Capital; Krensavage Asset Management; Opaleye Management; Palo Alto Investors; RTW Investments; Rock Springs Capital Management,70.00,MEDIUM,MODERATE,72.66,ev_cfo,0.8000,50,unknown,,50,,90.0,moderate,88.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.84
NVAX,6,65.97,2.93,0.2344,0.4814,-0.3487,2,0.5142,,0.9800,neutral,def_mult_rsi_overbought_0.98; def_warn_drawdown_gt_30pct,alpha,False,,none,late,small,True,47.99,60,-0.0280,59.80,46.56,15.65,50.00,4,,76.00,HIGH,HIGH,90.00,ev_revenue,0.8000,56.75,exceptional,Sanofi,58,FT,100.0,highly_crowded,86.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.95
VNDA,7,63.19,1.8985,0.1519,1.0382,,2,0.2900,,1.018500,neutral,def_skip_not_elite_vol; def_mult_high_vol_0.97; def_mult_momentum_bonus_1.05; def_missing_drawdown,alpha,False,,none,late,small,True,83.80,60,0.4860,80.00,83.18,90.60,64.29,4,Krensavage Asset Management,75.00,LOW,LOW,90.00,mcap_per_trial,0.8000,50,unknown,,50,,75.0,uncrowded,88.0,broad_portfolio,0.87500,0.95,0.95,0.65,0.84
EBS,8,62.80,2.57,0.2056,1.0204,,2,0.2778,,0.9700,penalty,def_skip_not_elite_vol; def_mult_high_vol_0.97; def_missing_drawdown,alpha,False,,none,late,small,True,44.04,60,-0.0828,50.00,50.00,0,50.00,0,,71.00,MEDIUM,MODERATE,75.78,ev_cfo,0.8000,50,unknown,,50,,75.0,uncrowded,88.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.84
ESPR,9,62.77,2.0826,0.1666,0.7805,,2,0.2681,,1.00,neutral,def_skip_not_elite_vol; def_missing_drawdown,alpha,False,,none,late,small,True,56.56,60,0.0911,82.00,67.67,34.22,65.71,5,Logos Global Management,50.00,MEDIUM,MODERATE,57.69,ev_revenue,0.8000,50,unknown,,50,,100.0,highly_crowded,86.0,broad_portfolio,0.87000,0.95,0.95,0.65,0.89
TBPH,10,62.57,2.0134,0.1611,0.5264,-0.3281,2,0.3946,,1.00,neutral,def_skip_vol_too_high; def_warn_drawdown_gt_30pct,alpha,False,,none,late,small,True,57.18,60,0.0998,50.00,50.00,0,50.00,0,,75.00,LOW,MODERATE,90.00,ev_cfo,0.8000,50,unknown,,50,,100.0,highly_crowded,88.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.90
