rank,ticker,composite_score,risk_adjusted_score,expected_excess_return,score_z,stage_bucket,market_cap_bucket,severity,clinical_score,financial_score,catalyst_score,pos_score,smart_money_score,confidence_overall,confidence_clinical,confidence_catalyst,conviction_overlap,tier1_conviction_overlap,tier1_count,coinvest_overlap_count,reinforcement_applied,reinforcement_type,thesis_gate_blocked,skip_reason,days_to_catalyst,in_optimal_window,catalyst_score_effective,alpha_60d,momentum_score,momentum_window,valuation_method,mcap_per_asset,ev_multiple,peer_count,si_score,si_crowding_risk,si_squeeze_potential,annualized_vol_pct,vol_bucket,partnership_count,partnership_strength,top_tier_partners,has_fda_designations,designation_types,pipeline_diversity_score,pipeline_risk_profile,program_count,competitive_position,crowding_level,competitor_count,cash_runway_months,survivability_score,ms_composite,ms_fv_discount,ms_capital_efficiency,ms_leverage_health,ms_growth_quality,ms_momentum,ms_moat_quality,ms_regime,ms_confidence
1,QURE,59.89,58.09,0.2363,2.9542,mid,small,none,70.69,68.45,51.73,93.97,85,0.83500,0.95,0.45,11.7755,11.7755,9,9,True,strong,,,143,False,45.29,-0.3084,26.57,60,mcap_per_trial,153.89,,52,48.00,MEDIUM,LOW,,unknown,0,unknown,0,False,,75.0,diversified,11,me_too,uncrowded,1482,60.3595127520581,4.0,63.82,83.11,50,63.61,50,45.57,50,development,1.0
2,ALKS,58.54,61.47,0.1833,2.2913,late,mid,none,77.00,70.77,39.56,95.00,74.97155007586197045635949258,0.83000,0.95,0.45,6.3757,6.3757,6,6,True,weak,,,22,True,45.05,-0.0719,44.83,60,ev_cfo,,13.50,77,70.00,MEDIUM,MODERATE,,unknown,0,unknown,0,False,,88.0,broad_portfolio,111,me_too,highly_crowded,5055,,2.0,54.08,10.00,65.82,82.01,70.46,72.76,50.00,commercial,1.0
3,NVAX,57.37,56.22,0.2078,2.597,late,small,none,77.00,74.95,52.36,77.61,41.36802222123446424002421713,0.80000,0.95,0.30,0.6424,0.6424,1,1,True,weak,,,1,True,69.25,-0.0280,47.99,60,ev_revenue,,0.92,108,76.00,HIGH,HIGH,,unknown,1,exceptional,1,True,FT,86.0,broad_portfolio,53,me_too,highly_crowded,1448,42.902598132943425,3.0,64.90,86.83,,25.00,62.88,61.14,,commercial,0.77
4,EBS,56.77,55.07,0.1933,2.4164,late,small,none,77.00,72.42,39.54,87.56,42.36802222123446424002421713,0.80000,0.95,0.30,0.6424,0.6424,1,1,True,weak,,,144,False,37.88,-0.0828,44.04,60,ev_cfo,,11.20,77,71.00,MEDIUM,MODERATE,,unknown,0,unknown,0,False,,88.0,broad_portfolio,64,me_too,uncrowded,7332,,-1.0,41.93,10.00,72.27,25.87,75.13,82.14,50.00,commercial,1.0
5,CTNM,56.56,56.56,0.1546,1.9326,mid,small,none,77.00,54.00,53.09,55.17,85,0.83500,0.95,0.45,7.0783,7.0783,7,7,False,,,stage_pivotal_not_active,8,True,47.24,0.3278,74.82,60,mcap_per_trial,69.91,,52,49.00,LOW,LOW,,unknown,0,unknown,0,False,,78.0,diversified,8,me_too,highly_crowded,1271,51.783392476934,5.0,64.76,70.13,50,83.30,50,84.42,50,development,1.0
6,CATX,56.49,56.49,0.1507,1.884,early,small,none,77.00,62.21,36.66,67.54,51.31012452779868932982365778,0.83500,0.95,0.45,2.478,2.478,2,2,True,moderate,,,82,False,38.08,-0.3393,24.39,60,mcap_per_trial,63.99,,28,65.00,MEDIUM,MODERATE,,unknown,0,unknown,0,False,,64.0,focused,6,me_too,highly_crowded,4566,36.08371466560757,5.0,60.15,58.91,50,84.22,50,67.53,50,development,1.0
7,XNCR,56.11,56.11,0.1755,2.1943,mid,small,none,67.59,67.91,50.74,25.86,77.69432914092713950942253910,0.83000,0.95,0.45,4.8922,4.8922,4,4,True,weak,,,5,True,46.46,-0.0975,42.98,60,mcap_per_trial,28.20,,52,77.00,MEDIUM,HIGH,,unknown,1,strong,0,False,,82.0,broad_portfolio,33,me_too,highly_crowded,6036,66.51928407210846,4.0,59.62,81.22,36.31,73.58,30.63,47.76,,commercial,0.88
8,ESPR,55.94,55.94,0.1472,1.8396,late,small,none,77.00,67.24,55.77,66.42,42.36802222123446424002421713,0.87000,0.95,0.65,0.6424,0.6424,1,1,True,weak,,,21,True,71.82,0.0911,56.56,60,ev_revenue,,5.70,108,50.00,MEDIUM,MODERATE,,unknown,0,unknown,0,False,,86.0,broad_portfolio,26,me_too,highly_crowded,1334,15.305970149253731,-3.0,58.74,64.83,,,39.79,73.01,,commercial,0.65
9,TARS,55.79,51.33,0.1439,1.7985,late,mid,none,72.84,56.88,39.54,66.42,85,0.80500,0.95,0.30,12.7737,12.7737,8,8,True,strong,,,144,False,36.73,-0.1911,35.48,60,ev_revenue,,8.27,108,86.00,LOW,MODERATE,,unknown,0,unknown,0,False,,76.0,diversified,10,me_too,uncrowded,441,125.24139005765934,0.0,55.16,57.61,32.88,68.25,64.64,60.46,,commercial,0.88
10,BEAM,55.68,55.68,0.1589,1.9861,early,mid,none,67.37,67.42,55.33,95.00,61.72200336253924540177940228,0.80000,0.95,0.30,5.8858,5.8858,4,4,True,weak,,,21,True,63.91,0.0620,54.46,60,mcap_per_trial,347.04,,28,80.00,MEDIUM,HIGH,,unknown,2,exceptional,2,True,"BTD, ODD",75.0,diversified,8,me_too,highly_crowded,5279,49.27043347732924,4.0,66.80,84.16,50,73.68,50,61.55,50,development,1.0
11,IRWD,55.44,48.49,0.1692,2.1144,late,small,none,77.00,70.53,39.54,74.88,,0.80500,0.95,0.30,,,0,0,False,,,below_threshold,114,False,36.86,2.1626,96.55,60,ev_cfo,,24.04,77,48.00,LOW,LOW,,unknown,0,unknown,0,False,,80.0,broad_portfolio,42,me_too,uncrowded,1490,,2.0,59.63,68.32,45.53,,52.99,80.81,,commercial,0.77
12,ENTA,55.19,55.19,0.1637,2.046,mid,small,none,77.00,61.73,49.13,77.59,42.36802222123446424002421713,0.80000,0.95,0.30,0.6424,0.6424,1,1,True,weak,,,144,False,38.61,0.0642,54.63,60,mcap_per_trial,13.03,,52,61.00,LOW,LOW,,unknown,0,unknown,0,False,,82.0,broad_portfolio,43,me_too,moderate,2615,82.02265571278636,4.0,44.14,53.06,31.95,46.63,28.16,74.30,,commercial,0.88
13,AGIO,55.18,49.24,0.128,1.5995,late,small,none,75.22,60.80,53.85,82.09,65.25222683436291441962309844,0.83500,0.95,0.45,4.3728,4.3728,3,3,True,moderate,,,20,True,71.30,-0.4229,19.37,60,mcap_per_trial,54.20,,201,57.00,LOW,MODERATE,,unknown,0,unknown,0,False,,83.0,broad_portfolio,56,me_too,highly_crowded,6067,41.31433278894654,5.0,61.71,68.84,50,83.34,50,32.32,50,development,1.0
14,TBPH,55.16,55.16,0.1352,1.6906,late,small,none,77.00,65.47,51.04,74.88,42.36802222123446424002421713,0.83000,0.95,0.45,0.6424,0.6424,1,1,True,weak,,,52,True,56.26,0.0998,57.18,60,ev_cfo,,2.94,77,75.00,LOW,MODERATE,,unknown,0,unknown,0,False,,88.0,broad_portfolio,75,me_too,highly_crowded,4718,,3.0,62.25,45.81,59.43,73.11,83.93,85.61,,commercial,0.88
15,QSI,55.14,55.14,0.1327,1.6587,late,micro,none,77.00,63.39,51.87,72.39,,0.83500,0.95,0.45,,,0,0,False,,,below_threshold,52,True,61.58,-0.4416,18.39,60,mcap_per_trial,7.69,,201,53.00,LOW,LOW,,unknown,0,unknown,0,False,,88.0,broad_portfolio,83,me_too,highly_crowded,8028,49.72121985453617,3.0,66.91,84.62,50,83.34,50,25.89,50,development,1.0
16,MBX,54.93,55.95,0.1257,1.5718,mid,small,none,66.55,52.46,49.48,68.97,85,0.83500,0.95,0.45,10.7334,10.7334,8,8,True,strong,,,73,False,43.25,0.7197,92.75,60,mcap_per_trial,251.26,,52,75.00,LOW,LOW,,unknown,0,unknown,0,False,,75.0,diversified,7,me_too,uncrowded,1160,76.2405268621853,5.0,63.13,64.87,50,84.94,50,82.82,50,development,1.0
