date,ticker,adj_close,volume
2016-05-27,ABUS,3.70,390800
2016-05-27,ACAD,23.78,2719600
2016-05-27,ACRS,20.42,49500
2016-05-27,ADMA,6.07,3600
2016-05-27,AGIO,50.35,2674000
2016-05-27,ALKS,62.36,2338800
2016-05-27,ALNY,75.98,1193800
2016-05-27,AMGN,112.39,6213000
2016-05-27,AMPH,12.29,197900
2016-05-27,ANIP,35.67,242100
2016-05-27,ARCT,35.07,12986
2016-05-27,ARDX,10.55,692400
2016-05-27,ARWR,4.58,1196600
2016-05-27,ASND,16.84,42800
2016-05-27,ATXS,330.60,617
2016-05-27,AUPH,1.80,51800
2016-05-27,AVXL,4.01,1064000
2016-05-27,AXSM,13.00,43300
2016-05-27,AZN,22.49,5119200
2016-05-27,BCRX,7.46,932200
2016-05-27,BIIB,273.33,2579900
2016-05-27,BMRN,83.14,3447700
2016-05-27,BRKR,21.50,1258200
2016-05-27,CATX,6.20,27820
2016-05-27,CDNA,5.40,7300
2016-05-27,CDXS,3.81,187000
2016-05-27,CHRS,16.19,331300
2016-05-27,CLDX,167.10,516613
2016-05-27,COLL,15.57,565800
2016-05-27,CRL,74.53,1991100
2016-05-27,CRMD,6.15,47460
2016-05-27,CTMX,13.25,24900
2016-05-27,CYTK,8.72,409900
2016-05-27,DVAX,21.05,1354700
2016-05-27,EBS,34.63,289000
2016-05-27,ENTA,28.06,252600
2016-05-27,ESPR,13.77,702100
2016-05-27,EXEL,4.23,5425700
2016-05-27,EYPT,34.60,18960
2016-05-27,FATE,2.55,136700
2016-05-27,FOLD,7.36,3769200
2016-05-27,GERN,3.34,3185300
2016-05-27,GILD,64.57,18108300
2016-05-27,GLPG,51.22,41400
2016-05-27,GMAB,12.56,0
2016-05-27,GRFS,13.03,2391500
2016-05-27,HALO,10.10,1750200
2016-05-27,HROW,5.38,25800
2016-05-27,HRTX,22.71,914700
2016-05-27,IBRX,12.45,426400
2016-05-27,ILMN,166.49,2753498
2016-05-27,IMMP,3.17,133500
2016-05-27,INCY,76.95,4179200
2016-05-27,INDV,11.60,120
2016-05-27,INSM,14.30,548700
2016-05-27,INVA,9.05,888500
2016-05-27,IONS,43.88,3479500
2016-05-27,IOVA,5.95,426300
2016-05-27,IRWD,8.39,1542051
